pelicula,genero,duracion,presupuesto,recaudacion,director,fecha_nac_director,actor_protagonista,fecha_nac_prota
Tobor the Great,Aventura,3.96,23886460.8,54380808.79,Patrick Mugridge,8/23/1940,Myrvyn Keighly,4/14/1990
Midnight Express,Misterio,3.32,19992295.63,47173608.51,Lindsey Oylett,5/25/1938,Lyndel Harmson,9/11/1958
"Baader Meinhof Komplex, Der",Drama,1.8,15299270.98,14686064.07,Lewes Edbrooke,3/2/1947,Gualterio Fawdery,2/27/1935
"Titfield Thunderbolt, The",Musical,1.28,9577287.01,7531540.23,Tucky Joscelyne,3/9/1954,Ginger Hoyle,9/28/1975
"Haunted World of El Superbeasto, The",Animación,2.98,27584509.17,47277482.92,Fiorenze Anthon,12/29/2020,Calvin Tennet,3/26/1977
"Candidate, The (Kandidaten)",Acción,2.53,28369660.82,16449087.62,Danika Longridge,2/17/1970,Christian Marchi,8/4/1963
Dark and Stormy Night,Comedia,1.45,29426484.7,80202744.66,Harper Bidwell,10/16/1977,Mace Hubbock,1/3/2009
Moonlight Serenade,Animación,2.92,14694530.31,28864802.88,Marje Gatus,11/22/1976,Quinn Corradino,5/14/1943
"Ditchdigger's Daughters, The",Animación,3.33,16513983.2,16637352.4,James Yurin,2/16/1997,Raimundo Barrows,1/4/1998
Howards End,Ciencia ficción,2.84,15143418.41,12209383.35,Alex Burrows,8/13/2014,Lacy Driver,3/24/2015
Eternity and a Day (Mia aoniotita kai mia mera),Documental,1.9,22160948.25,30339229.53,Earl Lammerding,1/16/1990,Ker Blackly,7/6/2005
Fightville,Aventura,3.72,27267057.53,68818319.39,Elsworth Goodboddy,5/31/1993,Kathie Crossby,3/22/2013
Palme,Histórico,3.69,12558034.97,22367324.27,Adelle Pomfrey,5/21/1939,Sheila-kathryn Pickover,3/27/1941
Pavement: Slow Century,Fantasía,3.92,5660727.55,7882149.5,Allene Lamblin,12/24/1936,Allissa Simeons,10/7/1975
Gamera vs. Viras ,Musical,1.84,19558246.15,54571128.2,Margo Saiz,8/14/1943,Marlie Cherm,11/12/1950
